TEAM_ID,TEAM_NAME,PPG,PAL
1610612737,Atlanta Hawks,118.4,116.6
1610612738,Boston Celtics,114.2,107.0
1610612751,Brooklyn Nets,106.3,115.7
1610612766,Charlotte Hornets,116.4,111.8
1610612741,Chicago Bulls,116.3,120.8
1610612739,Cleveland Cavaliers,119.0,115.0
1610612742,Dallas Mavericks,114.0,119.3
1610612743,Denver Nuggets,121.1,116.7
1610612765,Detroit Pistons,117.5,109.8
1610612744,Golden State Warriors,115.0,114.8
1610612745,Houston Rockets,114.1,110.3
1610612754,Indiana Pacers,111.9,120.7
1610612746,LA Clippers,113.8,112.5
1610612747,Los Angeles Lakers,116.6,115.1
1610612763,Memphis Grizzlies,115.1,119.1
1610612748,Miami Heat,120.2,117.3
1610612749,Milwaukee Bucks,110.6,116.6
1610612750,Minnesota Timberwolves,118.3,114.5
1610612740,New Orleans Pelicans,115.5,119.2
1610612752,New York Knicks,117.2,110.4
1610612760,Oklahoma City Thunder,118.6,107.6
1610612753,Orlando Magic,115.7,114.8
1610612755,Philadelphia 76ers,116.2,116.6
1610612756,Phoenix Suns,112.4,111.2
1610612757,Portland Trail Blazers,115.5,116.7
1610612758,Sacramento Kings,110.8,121.2
1610612759,San Antonio Spurs,119.3,111.5
1610612761,Toronto Raptors,113.9,112.4
1610612762,Utah Jazz,117.3,125.1
1610612764,Washington Wizards,112.8,123.9
